Course	Room	Teacher	Time	Students
563	CHSAUD	261	8	12 26 35 154 170 258 282 318 335 380 385 436 537 647 656 662 716 759 767 823 861 933 978 981 1010 1037 1060 1079 1103 1125 1127 1128 1177 
611	HLL7	251	4	90 180 299 559 577 586 685 756 863 1138 
615	HLL6	134	9	89 100 155 161 166 192 203 239 243 277 296 357 415 623 638 659 670 704 705 807 843 846 961 1042 1074 1080 1163 
72	CHSAUD	21	4	14 49 150 396 451 498 675 744 786 898 955 996 
489	ESTW309	43	4	31 404 437 697 811 838 886 1091 1117 
684	OBS	261	12	8 10 43 76 202 357 363 456 549 606 635 721 722 723 724 775 787 793 1044 1094 
487	HLS11	78	11	209 355 404 406 466 506 513 708 772 791 832 838 888 953 1053 1117 1135 1159 
655	STO102	50	7	247 522 567 913 1140 1144 
484	HLS105	30	4	6 70 336 416 419 885 920 965 1034 1175 
483	SHAAUD	218	3	2 695 854 956 
478	ESTW309	33	11	4 9 13 17 37 90 111 125 127 141 184 215 275 280 359 423 425 447 479 507 508 592 631 637 687 698 752 756 777 813 847 885 891 894 895 912 975 1046 1069 1113 1165 1184 
481	STO14	259	5	36 101 126 300 304 306 419 421 516 559 617 632 820 991 1040 1057 1086 1138 1171 
479	STO207	329	7	66 68 124 240 328 386 387 415 423 717 989 1044 1046 1165 
732	STO207	68	5	97 171 319 1179 
547	STO14	8	8	71 106 230 343 491 601 671 709 741 742 798 810 841 953 977 1059 
433	HLS11	61	8	264 281 361 390 514 569 608 620 634 788 849 862 932 1154 
355	HLS11	83	5	124 224 425 453 492 590 754 966 1017 1039 1177 
689	SHAAUD	36	4	15 572 854 
477	STO102	233	9	51 90 267 289 315 421 624 
474	STOAUD	189	4	501 545 705 752 1078 
350	GST103	88	10	21 128 176 249 330 348 451 498 670 993 996 
267	GST103	116	13	76 121 249 326 348 716 724 782 951 1037 1042 
687	GST103	43	11	23 69 361 683 744 985 1011 1084 1145 1174 
686	STO102	77	10	16 300 659 902 1078 1146 1154 
359	STOAUD	137	13	1 4 6 11 17 20 34 35 68 188 199 204 205 206 212 215 225 226 229 233 251 252 280 285 293 296 302 324 336 357 363 380 386 387 405 413 441 443 453 454 461 467 481 495 499 500 502 520 527 554 573 588 590 594 608 613 614 618 622 625 647 649 656 678 684 693 700 702 713 731 734 738 740 745 747 754 759 766 771 792 801 829 851 861 877 888 912 933 939 942 957 
